"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"200079","N/D","SCS1","DEF SCAH CAPITAL PROGRAMME","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","NATIONAL BIOSECURITY CENTRE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200029","0","1.00","N/A","N/A","","Project Management Delivery","UNKNOWN","","1"
"200082","N/D","SCS1","Air Quality & Industrial Emissions","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ENVIRONMENT QUALITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200135","2817731","1.00","N/A","N/A","","Policy","LONDON","","1"
"200084","N/D","SCS1","DEF Strat Business Relationship Man","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200264","0","1.00","N/A","N/A","","Digital  Data and Technology","LONDON","","1"
"200085","N/D","SCS1","FLS - Water Ongoing Function - Drinking Water Inspectorate","Unknown","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","WATER AND FLOOD MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200210","2789834","1.00","N/A","N/A","","Science and Engineering","LONDON","","1"
"200088","N/D","SCS1","DEF DOMESTIC FISHERIES AND REFORM","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","MARINE AND FISHERIES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200091","1461503","1.00","N/A","N/A","","Policy","LONDON","","1"
"200089","N/D","SCS1","DEF SPS STRATEGY & CO-ORDINATION, ANIMAL IMPORTS & EU TRADE","Unknown","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ANIMAL AND PLANT HEALTH DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200083","2161144","0.59","N/A","N/A","","Policy","LONDON","","1"
"200090","N/D","SCS1","DEF FOOD CHAIN ANALYSIS & FARMING STATISTICS","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","AGRI FOOD CHAIN DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200087","3386799","1.00","N/A","N/A","","Missing Data","YORKSHIRE AND THE HUMBER","","1"
"200095","N/D","SCS1","DEF LANDSCAPES","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","STRATEGY, GOVERNANCE & CLIMATE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200207","2557559","1.00","N/A","N/A","","Missing Data","LONDON","","1"
"200096","N/D","SCS1","DEF F&W - PROJECT TIMBER","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","WATER AND FLOOD MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200210","1135095","1.00","N/A","N/A","","Policy","LONDON","","1"
"200098","N/D","SCS1","DEF DOMESTIC MARINE","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","MARINE AND FISHERIES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200091","2510131","1.00","N/A","N/A","","Policy","LONDON","","1"
"200102","N/D","SCS1","DEF FFCP POLICY DESIGN","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ENVIRONMENTAL LAND MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200092","0","1.00","N/A","N/A","","Missing Data","LONDON","","1"
"200103","N/D","SCS1","DEF FIN OPS CFA","Finance","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FINANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200237","3818137","1.00","N/A","N/A","","Finance","YORKSHIRE AND THE HUMBER","","1"
"200104","N/D","SCS1","DEF WINDSOR FRAMEWORK POWERS AND RESOURCES","Unknown","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","TRADE DELIVERY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200191","0","1.00","N/A","N/A","","Policy","LONDON","","1"
"200105","N/D","SCS1","DEF EU EXIT WORLD TRADE","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","EU AND INTERNATIONAL TRADE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200316","1508810","1.00","N/A","N/A","","Policy","WEST MIDLANDS","","1"
"200106","N/D","SCS1","DEF DDTS - CROSS CUTTING NON-TECHNICAL","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200160","398814","1.00","N/A","N/A","","Digital  Data and Technology","UNKNOWN","","1"
"200107","N/D","SCS1","DEF GROWTH TECHNOLOGY & TRADE","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","AGRI FOOD CHAIN DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200087","2963339","1.00","N/A","N/A","","Operational Delivery","UNKNOWN","","1"
"200108","N/D","SCS1","DEF TRADE STRATEGY AND DELIVERY","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","EU AND INTERNATIONAL TRADE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200316","1984536","1.00","N/A","N/A","","International Trade and Negotiation","LONDON","","1"
"200109","N/D","SCS1","DEF EU EXIT PESTICIDES","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ENVIRONMENT QUALITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200135","1920826","1.00","N/A","N/A","","Missing Data","LONDON","","1"
"200110","N/D","SCS1","DEF SPS STRATEGY & CO-ORDINATION, ANIMAL IMPORTS & EU TRADE","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ANIMAL AND PLANT HEALTH DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200083","0","0.81","N/A","N/A","","Policy","LONDON","","1"
"200111","N/D","SCS1","DEF MARINE SYSTEM AND BUSINESS MANAGEMENT","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","MARINE AND FISHERIES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200091","1641008","1.00","N/A","N/A","","Project Management Delivery","LONDON","","1"
"200112","N/D","SCS1","Strategic Evidence Partners","Analysis","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","SCIENCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200297","0","0.80","N/A","N/A","","Science and Engineering","LONDON","","1"
"200114","N/D","SCS1","DEF UKCB GRANTS HUB","Finance","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FINANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200075","572175","1.00","N/A","N/A","","Finance","EAST OF ENGLAND","","1"
"200115","N/D","SCS1","DEF EU FISHERIES POLICY & NEGOTIATION","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","MARINE AND FISHERIES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200091","1600447","1.00","N/A","N/A","","Policy","LONDON","","1"
"200116","N/D","SCS1","Animal Health: Public Health","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ANIMAL AND PLANT HEALTH DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200083","2956192","0.70","N/A","N/A","","Policy","LONDON","","1"
"200118","N/D","SCS1","Plant Health","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ANIMAL AND PLANT HEALTH DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200083","3096467","1.00","N/A","N/A","","Policy","YORKSHIRE AND THE HUMBER","","1"
"200119","N/D","SCS1","DEF COMMUNICATIONS, STRATEGY & EXTERNAL AFFAIRS","Communications","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","COMMUNICATIONS DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200231","2178623","1.00","N/A","N/A","","Communications","LONDON","","1"
"200123","N/D","SCS1","DEF ADAPTATION AND RURAL COMMUNITIES","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","STRATEGY, GOVERNANCE & CLIMATE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200207","1891598","1.00","N/A","N/A","","Policy","EAST OF ENGLAND","","1"
"200124","N/D","SCS1","Wildlife","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","BIODIVERSITY, LAND USE & INVESTMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200140","2732534","1.00","N/A","N/A","","Policy","SOUTH WEST","","1"
"200127","N/D","SCS1","DEF LAND USE AND PLANNING","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","BIODIVERSITY, LAND USE & INVESTMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200140","1070814","1.00","N/A","N/A","","Policy","LONDON","","1"
"200128","N/D","SCS1","Water Services","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","WATER AND FLOOD MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200210","3156842","1.00","N/A","N/A","","Policy","LONDON","","1"
"200129","N/D","SCS1","DEF FFCP EVIDENCE & ANALYSIS","Analysis","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ENVIRONMENTAL LAND MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200092","3118968","0.78","N/A","N/A","","Economic","LONDON","","1"
"200130","N/D","SCS1","DEF PROTECTING THE MARINE ENVIRONMENT","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","MARINE AND FISHERIES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200091","1621640","1.00","N/A","N/A","","Policy","LONDON","","1"
"200134","N/D","SCS1","DEF EU EXIT CHEMICALS (REACH)","Unknown","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ENVIRONMENT QUALITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200135","476337","1.00","N/A","N/A","","Policy","LONDON","","1"
"200136","N/D","SCS1","DEF SCIENCE PROJECTS - MASTERPLAN / SCAH","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","NATIONAL BIOSECURITY CENTRE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200029","0","0.47","N/A","N/A","","Science and Engineering","UNKNOWN","","1"
"200137","N/D","SCS1","DEF ENVIRONMENTAL SUSTAINABILITY","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","AGRI FOOD CHAIN DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200087","2214523","0.80","N/A","N/A","","Missing Data","LONDON","","1"
"200138","N/D","SCS1","DEF DEVOLUTION & STRATEGIC BRIEFINGS","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","MINISTERIAL, GROWTH AND RESILIENCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200205","2415747","1.00","N/A","N/A","","Missing Data","LONDON","","1"
"200144","N/D","SCS1","DEF WATER STRATEGY & LEGISLATION","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","WATER AND FLOOD MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200210","5503190","1.00","N/A","N/A","","Policy","LONDON","","1"
"200145","N/D","SCS1","Water and CBRN Emergencies","Unknown","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","WATER AND FLOOD MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200139","1586137","1.00","N/A","N/A","","Risk","LONDON","","1"
"200146","N/D","SCS1","DEF Office of CTO and Change Imp","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200160","0","1.00","N/A","N/A","","Digital  Data and Technology","YORKSHIRE AND THE HUMBER","","1"
"200147","N/D","SCS1","DEF CE STRATEGY & SYSTEM REFORM","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","CIRCULAR ECONOMY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200180","3287263","1.00","N/A","N/A","","Policy","WEST MIDLANDS","","1"
"200150","N/D","SCS1","DEF RPA Finance","Finance","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FINANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200075","1281258","1.00","N/A","N/A","","Finance","UNKNOWN","","1"
"200154","N/D","SCS1","Environment 25 year plan","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","STRATEGY, GOVERNANCE & CLIMATE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200207","1491742","1.00","N/A","N/A","","Policy","LONDON","","1"
"200155","N/D","SCS1","DEF CENTRAL ANALYTICAL RESPONSE IMPROVEMENT AND SUPPORT","Analysis","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ANALYSIS DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200067","939090","1.00","N/A","N/A","","Economic","LONDON","","1"
"200156","N/D","SCS1","DEF RUN & MAINTAIN WORKFORCE","Property","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DEFRA GROUP PROPERTY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200203","0","1.00","N/A","N/A","","Property","NORTH WEST","","1"
"200159","N/D","SCS1","DEF GIO Resources","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200181","0","1.00","N/A","N/A","","Digital  Data and Technology","SOUTH EAST","","1"
"200161","N/D","SCS1","DEF SOFTWARE DEVELOPMENT","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200160","20227781","1.00","N/A","N/A","","Digital  Data and Technology","NORTH WEST","","1"
"200166","N/D","SCS1","DEF FIN OPS SFO & BI","Finance","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FINANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200237","2902168","1.00","N/A","N/A","","Finance","SOUTH WEST","","1"
"200167","N/D","SCS1","DEF FIN OPS MR","Finance","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FINANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200237","3153299","0.96","N/A","N/A","","Finance","SOUTH WEST","","1"
"200168","N/D","SCS1","DEF FINANCIAL GOVERNANCE, INVESTMENTS AND INVESTIGATIONS","Finance","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FINANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200075","1469618","1.00","N/A","N/A","","Finance","SOUTH WEST","","1"
"200170","N/D","SCS1","DEF GCS, STRATEGY, SCIENCE AND ANALYSIS FBP TEAM (CORE)","Finance","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FINANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200046","1425936","1.00","N/A","N/A","","Finance","LONDON","","1"
"200172","N/D","SCS1","DEF NE HR","Human Resources","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","HUMAN RESOURCES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200149","504864","1.00","N/A","N/A","","Human Resources","SOUTH WEST","","1"
"200173","N/D","SCS1","Pay Reward and Employee Relations","Human Resources","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","HUMAN RESOURCES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200149","1357621","1.00","N/A","N/A","","Human Resources","SOUTH EAST","","1"
"200174","N/D","SCS1","DEF FOOD SECURITY & SUPPLY CHAIN","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","AGRI FOOD CHAIN DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200087","2263402","1.00","N/A","N/A","","Missing Data","LONDON","","1"
"200178","N/D","SCS1","Water Programme - Water Quality","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","WATER AND FLOOD MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200210","0","1.00","N/A","N/A","","Policy","LONDON","","1"
"200185","N/D","SCS1","DEF EUDP PROGRAMME MANAGEMENT AND PMO","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","TRADE DELIVERY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200191","5244628","0.60","N/A","N/A","","Project Management Delivery","NORTH EAST","","1"
"200186","N/D","SCS1","DEF DGP SPECIAL PROJECTS WORKFORCE","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DEFRA GROUP PROPERTY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200203","653608","1.00","N/A","N/A","","Policy","LONDON","","1"
"200187","N/D","SCS1","Flood Risk Management","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","WATER AND FLOOD MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200139","2104751","1.00","N/A","N/A","","Policy","LONDON","","1"
"200189","N/D","SCS1","DEF DG SUSTAINABILITY","Property","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DEFRA GROUP PROPERTY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200203","1225834","1.00","N/A","N/A","","Other","UNKNOWN","","1"
"200192","N/D","SCS1","DEF F&W - SPECIAL PROJECTS","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","WATER AND FLOOD MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200210","0","1.00","N/A","N/A","","Policy","LONDON","","1"
"200194","N/D","SCS1","DEF CONSTITUTION AND STRATEGIC PROJECTS","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","MINISTERIAL, GROWTH AND RESILIENCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200205","2046278","1.00","N/A","N/A","","Missing Data","LONDON","","1"
"200195","N/D","SCS1","DEF FFCP DELIVERY & CORPORATE BUSINESS","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ENVIRONMENTAL LAND MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200092","1911978","1.00","N/A","N/A","","Missing Data","LONDON","","1"
"200197","N/D","SCS1","DEF USER-CENTRED DESIGN","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200160","0","1.00","N/A","N/A","","Digital  Data and Technology","LONDON","","1"
"200199","N/D","SCS1","DEF NET ZERO AND F-GASES","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","STRATEGY, GOVERNANCE & CLIMATE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200207","1617509","1.00","N/A","N/A","","Policy","UNKNOWN","","1"
"200200","N/D","SCS1","DEF Internal Communications","Communications","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","COMMUNICATIONS DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200231","3897417","1.00","N/A","N/A","","Communications","SOUTH WEST","","1"
"200201","N/D","SCS1","DEF EXTERNAL FISHERIES NEGOTIATION & TRADE","Analysis","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","MARINE AND FISHERIES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200091","1903078","1.00","N/A","N/A","","Policy","LONDON","","1"
"200204","N/D","SCS1","DEF ENABLING PROGRAMMES","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","CHANGE DELIVERY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200231","630556","1.00","N/A","N/A","","Missing Data","NORTH EAST","","1"
"200211","N/D","SCS1","DEF GREEN FINANCE BAU","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","BIODIVERSITY, LAND USE & INVESTMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200140","1470616","1.00","N/A","N/A","","Policy","LONDON","","1"
"200212","N/D","SCS1","DEF INTERNATIONAL BIODIVERSITY & WILDLIFE","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","INTERNATIONAL BIODIVERSITY AND CLIMATE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200184","1808030","1.00","N/A","N/A","","Policy","LONDON","","1"
"200214","N/D","SCS1","DEF EUDP EVIDENCE AND ANALYSIS","Analysis","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","TRADE DELIVERY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200191","1817994","1.00","N/A","N/A","","Economic","LONDON","","1"
"200215","N/D","SCS1","DEF Strat Business Relationship Man","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200264","0","1.00","N/A","N/A","","Missing Data","SOUTH WEST","","1"
"200216","N/D","SCS1","DEF OUTCOMES PROGRAMME AND ACTIVITY","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","GROUP STRATEGY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200054","0","1.00","N/A","N/A","","Policy","YORKSHIRE AND THE HUMBER","","1"
"200217","N/D","SCS1","DEF EU EXIT ENVIRONMENTAL REGULATIONS PORTFOLIO","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ENVIRONMENT QUALITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200131","0","1.00","N/A","N/A","","Missing Data","LONDON","","1"
"200219","N/D","SCS1","DEF NORTHERN IRELAND PROGRAMME AND CORPORATE MANAGEMENT","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","TRADE DELIVERY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200191","1698173","1.00","N/A","N/A","","Project Management Delivery","LONDON","","1"
"200220","N/D","SCS1","DEF PORTFOLIO PROJECT DATA","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","PORTFOLIO DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200267","906141","1.00","N/A","N/A","","Digital  Data and Technology","EAST OF ENGLAND","","1"
"200227","N/D","SCS1","DEF DEPOSIT RETURN SCHEME","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","CIRCULAR ECONOMY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200180","1227704","1.00","N/A","N/A","","Project Management Delivery","LONDON","","1"
"200228","N/D","SCS1","DEF IBC DIRECTORATE SUPPORT","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","INTERNATIONAL BIODIVERSITY AND CLIMATE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200184","0","1.00","N/A","N/A","","Policy","LONDON","","1"
"200229","N/D","SCS1","Private Offices: Defra","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","MINISTERIAL, GROWTH AND RESILIENCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200205","0","1.00","N/A","N/A","","Policy","LONDON","","1"
"200232","N/D","SCS1","DEF CONSISTENT WASTE COLLECTION","Analysis","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","CIRCULAR ECONOMY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200180","2595815","1.00","N/A","N/A","","Economic","LONDON","","1"
"200235","N/D","SCS1","DEF HR DIGITAL & AUTOMATION","Human Resources","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","HUMAN RESOURCES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200283","1153704","1.00","N/A","N/A","","Digital  Data and Technology","LONDON","","1"
"200236","N/D","SCS1","DEF INTERNATIONAL SCIENCE, EVIDENCE AND ANALYSIS","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","INTERNATIONAL BIODIVERSITY AND CLIMATE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200184","1202508","1.00","N/A","N/A","","Science and Engineering","LONDON","","1"
"200238","N/D","SCS1","DEF EPR SCHEME ADMINISTRATOR","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","PEPR DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200301","1844149","1.00","N/A","N/A","","Digital  Data and Technology","NORTH WEST","","1"
"200239","N/D","SCS1","DEF EMERGENCY OPERATIONS CENTRE - COVID19","Unknown","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","MINISTERIAL, GROWTH AND RESILIENCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200205","0","0.65","N/A","N/A","","Policy","LONDON","","1"
"200240","N/D","SCS1","DEF RPA HR","Human Resources","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","HUMAN RESOURCES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200080","771507","1.00","N/A","N/A","","Human Resources","LONDON","","1"
